CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
"Idaho Falls, ID",26820,2015,362,315,46,0,1,0,0,159,54,41,0,0,323,39,0
"Indiana, PA",26860,2015,363,300,59,4,0,0,0,119,61,37,0,0,363,0,0
"Indianapolis-Carmel-Anderson, IN",26900,2015,365,122,239,3,1,0,0,159,75,57,0,2,87,276,0
"Iowa City, IA",26980,2015,365,198,166,1,0,0,0,139,64,48,0,0,0,365,0
"Ithaca, NY",27060,2015,351,332,19,0,0,0,0,93,48,35,0,0,351,0,0
"Jackson, MS",27140,2015,365,131,234,0,0,0,0,100,70,54,0,1,54,310,0
"Jackson, TN",27180,2015,110,66,44,0,0,0,0,66,58,43,0,0,0,110,0
"Jackson, WY-ID",27220,2015,365,322,42,1,0,0,0,107,53,42,0,0,349,13,3
"Jacksonville, FL",27260,2015,365,217,147,1,0,0,0,104,62,47,0,3,84,276,2
"Jamestown, ND",27420,2015,361,347,14,0,0,0,0,85,34,13,0,0,0,0,361
"Jamestown-Dunkirk-Fredonia, NY",27460,2015,362,290,67,5,0,0,0,126,61,39,0,0,317,45,0
"Janesville-Beloit, WI",27500,2015,192,165,27,0,0,0,0,100,58,41,0,0,192,0,0
"Jasper, IN",27540,2015,122,65,57,0,0,0,0,79,64,47,0,0,0,118,4
"Jefferson City, MO",27620,2015,214,186,28,0,0,0,0,97,51,41,0,0,214,0,0
"Johnstown, PA",27780,2015,365,130,235,0,0,0,0,97,71,54,0,6,64,294,1
"Joplin, MO",27900,2015,365,307,58,0,0,0,0,98,56,35,0,0,176,0,189
"Juneau, AK",27940,2015,351,262,89,0,0,0,0,92,61,28,0,0,0,349,2
"Kahului-Wailuku-Lahaina, HI",27980,2015,365,310,55,0,0,0,0,77,53,33,0,0,0,365,0
"Kalamazoo-Portage, MI",28020,2015,359,206,152,1,0,0,0,101,66,47,0,0,80,279,0
"Kalispell, MT",28060,2015,365,216,137,3,9,0,0,190,74,44,0,0,138,190,37
"Kansas City, MO-KS",28140,2015,365,102,257,6,0,0,0,123,77,56,0,2,85,256,22
"Kapaa, HI",28180,2015,362,348,14,0,0,0,0,59,41,17,0,113,0,249,0
"Keene, NH",28300,2015,365,224,140,0,1,0,0,155,65,44,0,0,143,222,0
"Kennewick-Richland, WA",28420,2015,362,261,91,8,1,0,1,483,66,37,0,0,68,276,18
"Killeen-Temple, TX",28660,2015,365,309,51,5,0,0,0,133,61,36,0,0,365,0,0
"Kingsport-Bristol-Bristol, TN-VA",28700,2015,365,285,80,0,0,0,0,100,58,39,3,81,207,74,0
"Kingsville, TX",28780,2015,354,218,136,0,0,0,0,95,65,44,0,0,0,354,0
"Kinston, NC",28820,2015,209,185,24,0,0,0,0,80,51,41,0,0,209,0,0
"Klamath Falls, OR",28900,2015,365,213,139,11,1,1,0,205,77,42,0,0,0,365,0
"Knoxville, TN",28940,2015,365,151,212,2,0,0,0,105,71,53,0,0,120,212,33
"Kokomo, IN",29020,2015,346,101,244,1,0,0,0,101,71,58,0,0,0,346,0
"La Crosse-Onalaska, WI-MN",29100,2015,361,280,81,0,0,0,0,98,58,40,0,0,186,175,0
"La Grande, OR",29260,2015,362,254,97,6,5,0,0,191,69,38,0,0,0,362,0
"Laconia, NH",29060,2015,213,201,12,0,0,0,0,90,46,33,0,0,177,36,0
"Lafayette, LA",29180,2015,365,166,199,0,0,0,0,97,66,52,0,0,106,259,0
"Lafayette-West Lafayette, IN",29200,2015,360,185,175,0,0,0,0,99,68,50,0,0,103,257,0
"Lake Charles, LA",29340,2015,365,149,212,3,1,0,0,156,71,53,0,1,109,255,0
"Lake City, FL",29380,2015,321,249,72,0,0,0,0,77,56,39,0,0,184,137,0
"Lake Havasu City-Kingman, AZ",29420,2015,364,350,14,0,0,0,0,62,34,17,0,0,0,74,290
"Lakeland-Winter Haven, FL",29460,2015,365,248,116,1,0,0,0,105,58,44,0,0,91,274,0
"Lancaster, PA",29540,2015,365,121,234,10,0,0,0,140,85,56,0,2,94,269,0
"Lansing-East Lansing, MI",29620,2015,364,214,148,2,0,0,0,107,63,47,0,0,102,262,0
"Laramie, WY",29660,2015,365,277,88,0,0,0,0,93,61,46,0,0,310,11,44
"Laredo, TX",29700,2015,365,192,173,0,0,0,0,95,67,49,1,0,52,310,2
"Las Cruces, NM",29740,2015,365,109,244,11,1,0,0,157,82,55,0,1,156,168,40
"Las Vegas-Henderson-Paradise, NV",29820,2015,365,90,252,22,1,0,0,151,94,61,0,6,200,155,4
"Lawrenceburg, TN",29980,2015,110,77,33,0,0,0,0,73,55,40,0,0,0,110,0
"Lawton, OK",30020,2015,365,246,119,0,0,0,0,97,63,44,0,0,198,167,0
"Lebanon, PA",30140,2015,365,174,179,12,0,0,0,133,84,52,0,0,178,187,0
"Lewiston, ID-WA",30300,2015,348,229,105,7,5,1,1,354,65,35,0,0,0,348,0
